[DEBUG] 2018-05-02 04:24:30.871 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-05-02 04:24:31.003 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-05-02 04:24:31.114 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-05-02 04:24:33.786 [http-nio-8080-exec-3] Version - HHH000412: Hibernate Core {5.2.3.Final}
[INFO ] 2018-05-02 04:24:33.844 [http-nio-8080-exec-3] Environment - HHH000206: hibernate.properties not found
[INFO ] 2018-05-02 04:24:33.870 [http-nio-8080-exec-3] Environment - HHH000021: Bytecode provider name : javassist
[DEBUG] 2018-05-02 04:24:34.611 [http-nio-8080-exec-3] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-05-02 04:24:34.614 [http-nio-8080-exec-3] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-05-02 04:24:34.781 [http-nio-8080-exec-3] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-05-02 04:24:36.378 [http-nio-8080-exec-3] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-05-02 04:24:37.020 [http-nio-8080-exec-3] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-05-02 04:24:37.316 [http-nio-8080-exec-3] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-05-02 04:24:37.978 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@b9dd7fe
[DEBUG] 2018-05-02 04:24:37.980 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@b9dd7fe
[DEBUG] 2018-05-02 04:24:37.981 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@b9dd7fe
[DEBUG] 2018-05-02 04:24:38.003 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@20faccd8
[DEBUG] 2018-05-02 04:24:38.054 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@63362aff
[DEBUG] 2018-05-02 04:24:38.070 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@8e10346
[DEBUG] 2018-05-02 04:24:38.098 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c653c77
[DEBUG] 2018-05-02 04:24:38.099 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c653c77
[DEBUG] 2018-05-02 04:24:38.099 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5c653c77
[DEBUG] 2018-05-02 04:24:38.123 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@525f99f4
[DEBUG] 2018-05-02 04:24:38.125 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@525f99f4
[DEBUG] 2018-05-02 04:24:38.127 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@525f99f4
[DEBUG] 2018-05-02 04:24:38.164 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@fae2f94
[DEBUG] 2018-05-02 04:24:38.164 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@fae2f94
[DEBUG] 2018-05-02 04:24:38.165 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@fae2f94
[DEBUG] 2018-05-02 04:24:38.187 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@de7cefc
[DEBUG] 2018-05-02 04:24:38.188 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@de7cefc
[DEBUG] 2018-05-02 04:24:38.188 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@de7cefc
[DEBUG] 2018-05-02 04:24:38.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7ad58ffa
[DEBUG] 2018-05-02 04:24:38.225 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7ad58ffa
[DEBUG] 2018-05-02 04:24:38.227 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7ad58ffa
[DEBUG] 2018-05-02 04:24:38.280 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@151a448b
[DEBUG] 2018-05-02 04:24:38.282 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@151a448b
[DEBUG] 2018-05-02 04:24:38.283 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@151a448b
[DEBUG] 2018-05-02 04:24:38.322 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72689732
[DEBUG] 2018-05-02 04:24:38.323 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72689732
[DEBUG] 2018-05-02 04:24:38.324 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@72689732
[DEBUG] 2018-05-02 04:24:38.369 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7b73b258
[DEBUG] 2018-05-02 04:24:38.369 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7b73b258
[DEBUG] 2018-05-02 04:24:38.388 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2de58be1
[DEBUG] 2018-05-02 04:24:38.389 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2de58be1
[DEBUG] 2018-05-02 04:24:38.408 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@106d4ff9
[DEBUG] 2018-05-02 04:24:38.408 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@106d4ff9
[DEBUG] 2018-05-02 04:24:38.427 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2a83ea86
[DEBUG] 2018-05-02 04:24:38.444 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@8a96e8f
[DEBUG] 2018-05-02 04:24:38.462 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@73d9e373
[DEBUG] 2018-05-02 04:24:38.463 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@73d9e373
[DEBUG] 2018-05-02 04:24:38.485 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@7141ca8e
[DEBUG] 2018-05-02 04:24:38.486 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7141ca8e
[DEBUG] 2018-05-02 04:24:38.627 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5283f3ff
[DEBUG] 2018-05-02 04:24:38.629 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5283f3ff
[DEBUG] 2018-05-02 04:24:38.653 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@ec60081
[DEBUG] 2018-05-02 04:24:38.654 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@ec60081
[DEBUG] 2018-05-02 04:24:38.688 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@eacc322
[DEBUG] 2018-05-02 04:24:38.689 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@eacc322
[DEBUG] 2018-05-02 04:24:38.724 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@15e193fe
[DEBUG] 2018-05-02 04:24:38.725 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@15e193fe
[DEBUG] 2018-05-02 04:24:38.779 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3505ab60
[DEBUG] 2018-05-02 04:24:38.781 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3505ab60
[DEBUG] 2018-05-02 04:24:38.804 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@42b5ceba
[DEBUG] 2018-05-02 04:24:38.805 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@42b5ceba
[DEBUG] 2018-05-02 04:24:38.844 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5d726b31
[DEBUG] 2018-05-02 04:24:38.844 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5d726b31
[DEBUG] 2018-05-02 04:24:38.877 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1e799fa1
[DEBUG] 2018-05-02 04:24:38.878 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1e799fa1
[DEBUG] 2018-05-02 04:24:38.907 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@57f0d4b6
[DEBUG] 2018-05-02 04:24:38.907 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@57f0d4b6
[DEBUG] 2018-05-02 04:24:38.929 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7c459446
[DEBUG] 2018-05-02 04:24:38.930 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7c459446
[DEBUG] 2018-05-02 04:24:38.930 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7c459446
[DEBUG] 2018-05-02 04:24:38.966 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1c36f169
[DEBUG] 2018-05-02 04:24:38.988 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@2c8df330
[DEBUG] 2018-05-02 04:24:38.989 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@2c8df330
[DEBUG] 2018-05-02 04:24:38.991 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@2c8df330
[DEBUG] 2018-05-02 04:24:39.013 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@69e1ab8c
[DEBUG] 2018-05-02 04:24:39.040 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4c3070e4
[DEBUG] 2018-05-02 04:24:39.041 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4c3070e4
[DEBUG] 2018-05-02 04:24:39.066 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2866edcb
[DEBUG] 2018-05-02 04:24:39.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2866edcb
